Kashia Elementary,Stewarts Point,95480,http://kashiaesd.cyberschool.com/
Jefferson Elementary,Lindsay,93247,http://lindsayunified.cyberschool.com/Jefferson/
Marysville High,Marysville,95901,http://marysville.mjusd.com/
Midway Elementary,Fellows,93224,http://midwayschooldistrict.org/
Washington Irving Mid Sch Math Music and Engr Magnet,Los Angeles,90065,http://www.irvingmag-lausd-ca.schoolloop.com/
Monson-Sultana Elementary,Dinuba,93618,http://www.msschool.org/
Mountain House Elementary,Byron,94514,http://www.mtnhouse.k12.ca.us/
Roberts Ferry Charter School Academy,Waterford,95386,http://www.robertsferry.k12.ca.us/
Tierra Pacifica Charter,Santa Cruz,95062,http://www.tierrapacifica.org/
One Hundred Ninth Street Elementary,Los Angeles,90059,https://109street-lausd-ca.schoolloop.com/
One Hundred Twelfth Street Elementary,Los Angeles,90059,https://112street-lausd-ca.schoolloop.com/
One Hundred Eighteenth Street,Los Angeles,90061,https://118street-lausd-ca.schoolloop.com/
Two Hundred Thirty-Second Place,Carson,90745,https://232ndes-lausd-ca.schoolloop.com/
Seventy-Fifth Street Elementary,Los Angeles,90003,https://75thstes-lausd-ca.schoolloop.com/
Seventh Street Elementary,San Pedro,90732,https://7thstreetes-lausd-ca.schoolloop.com/
Felix J. Appleby Elementary,Blythe,92225,https://aes.pvusd.us/
Aggeler Community Day,Chatsworth,91311,https://aggelerhs-lausd-ca.schoolloop.com/
Baldwin (Julia) Elementary,San Jose,95119,https://baldwin.ogsd.net/
Dr Bob Forinash Community Day,Lompoc,93436,https://bobforinashcommunitydayschool.lusd.org/
Brookside,Stockton,95219,https://bss.lusd.net/
Buena Vista Elementary,Lompoc,93436,https://buenavistaelementary.lusd.org/
Calabasas Elementary,Watsonville,95076,https://calabasas.pvusd.net/pf4/cms2_site/view_deployment?d=x&theme_id=i3v9rbg31skjwul&group_id=1500178973236
Needles Community Day,Needles,92363,https://cds.needlesusd.org/
Tri-C Community Day,Los Angeles,90021,https://centralhs-lausd-ca.schoolloop.com/ourschool
Captain Raymond Collins,Long Beach,90805,https://collins.pusdschools.net/
Chemehuevi Valley Elementary,Havasu Lake,92363,https://cves.needlesusd.org/
Engr and Tech Acad at Esteban E. Torres High #3,Los Angeles,90063,https://etat-lausd-ca.schoolloop.com/
Humphreys Avenue Elementary,Los Angeles,90022,https://has-lausd-ca.schoolloop.com/
Haynes Charter For Enriched Studies,West Hills,91307,https://haynes-ces-lausd-ca.schoolloop.com/
Linda Esperanza Marquez High A Hntngtn Park Inst of Appl Med,Huntington Park,90255,https://hpiam.marquezhs.net/
Frank L. Huff Elementary,Mountain View,94040,https://huff.mvwsd.org/
William G. Jehue Middle,Colton,92324,https://kec.rialto.k12.ca.us/jms
Las Palmas Elementary,Patterson,95363,https://laspalmas.patterson.k12.ca.us/
Laurel Elementary,Los Angeles,90046,https://laurelspanschool-lausd-ca.schoolloop.com/
Richard Henry Lee Elementary,Los Alamitos,90720,https://lee.losal.org/
Los Feliz Science/Tech/Engineer/Math/Medicine Magnet,Los Angeles,90027,https://lfe-lausd-ca.schoolloop.com/
Las Lomitas Elementary,Atherton,94027,https://ll-llesd-ca.schoolloop.com/
Landmark Elementary,Watsonville,95076,https://lmk-pajaro-ca.schoolloop.com/pf4/cms2_site/view_deployment?d=x&theme_id=qiv31fg1tbswpng&group_id=1500178973259
Live Oak Alternative,Live Oak,95953,https://loas.lousd.k12.ca.us/
Live Oak Middle,Live Oak,95953,https://loms.lousd.k12.ca.us/
Los Berros Visual and Performing Arts Academy,Lompoc,93436,https://losberroselementary.lusd.org/
Luther Elementary,Live Oak,95953,https://luther.lousd.k12.ca.us/
Mark West Charter,Santa Rosa,95403,https://markwestcharter.org/
Harold McAlister High (Opportunity),Los Angeles,90057,https://mcalisterhs-lausd-ca.schoolloop.com/
James J. McBride Special Education Center,Los Angeles,90066,https://mcbridesped-lausd-ca.schoolloop.com/
Montgomery Creek Elementary,Montgomery Creek,96065,https://mcs-shastacoe-ca.schoolloop.com/
Major Lynn Mokler,Paramount,90723,https://mokler.pusdschools.net/apps/pages/index.jsp?uREC_ID=780298&type=d&pREC_ID=1177955#
Moneta Continuation,Gardena,90248,https://monetahs-lausd-ca.schoolloop.com/
Morris Elementary,McKinleyville,95519,https://morris.mckusd.org/
Mountain Park,Monrovia,91016,https://mtpark.monroviaschools.net/
New Open World Academy K-12,Los Angeles,90010,https://now-lausd-ca.schoolloop.com/
Nueva Vista Elementary,Bell,90201,https://nuevavistaes-lausd-ca.schoolloop.com/
Rosa Parks Learning Center,North Hills,91343,https://parkslc-lausd-ca.schoolloop.com/
George S. Patton Continuation,Harbor City,90710,https://pattonhs-lausd-ca.schoolloop.com/
Alfonso B. Perez Special Education Center,Los Angeles,90022,https://perezctc-lausd-ca.schoolloop.com/
Paramount High,Paramount,90723,https://phs.pusdschools.net/
Pride Continuation,Stockton,95215,https://pride.lindenusd.com/apps/pages/index.jsp?uREC_ID=1156940&type=d&pREC_ID=1412704
Pine Valley Middle,Pine Valley,91962,https://pvms.schoolloop.com/
Rancho Milpitas Middle,Milpitas,95035,https://rancho.musd.org/
Ruth Brown Elementary,Blythe,92225,https://rbes.pvusd.us/
River Delta High/Elementary (Alternative),Rio Vista,95615,https://rdhs-rdusd-ca.schoolloop.com/
Roosevelt Elementary,Lindsay,93247,https://roosevelt.lindsay.k12.ca.us/
Roy Romer Middle,North Hollywood,91606,https://royromermiddleschool.org/
West Oakland Middle,Oakland,94607,https://sites.google.com/ousd.org/woms/
Soc Just Leadership Acad at Esteban E. Torres High #5,Los Angeles,90063,https://sjla-lausd-ca.schoolloop.com/
Sunrise (Special Education),Concord,94519,https://ss-mdusd-ca.schoolloop.com/pf4/cms2/view_page?d=x&group_id=1516178067443&vdid=i4atge1rof7o9
Turtle Bay,Redding,96003,https://turtlebay.reddingschools.net/
Walnut Park Mid B Sci Tech Engr and Math Acad,Walnut Park,90255,https://walnutparkms-lausd-ca.schoolloop.com/
WESM Health/Sports Medicine,Los Angeles,90045,https://westchesterhs-lausd-ca.schoolloop.com/sportsmedicine
Wisdom Elementary,Los Angeles,90001,https://wisdomelementaryschool.weebly.com/
Woodbridge,Lodi,95242,https://woodbridge.lodiusd.net/
Rudecinda Sepulveda Dodson Middle,Rancho Palos Verdes,90275,https://www.dodsonmiddleschool.net/
Grass Valley Elementary,Oakland,94605,https://www.grassvalleyousd.org/
Harvest High,Ripon,95366,https://www.harvesthigh.net/
Hollenbeck Middle,Los Angeles,90023,https://www.hollenbeckmiddleschool.org/
Maricopa High,Maricopa,93252,https://www.maricopaschools.org/domain/32
Mendocino Sunrise High,Mendocino,95460,https://www.mendocinousd.org/MHS/1352-Untitled.html
Quail Valley Elementary,Quail Valley,92587,https://www.menifeeusd.org/qve/
Lomita Park Elementary,San Bruno,94066,https://www.millbraeschooldistrict.org/2/Home
Meadows Elementary,Millbrae,94030,https://www.millbraeschooldistrict.org/3/Home
Nicasio,Nicasio,94946,https://www.nicasioschool.org/
North Monterey County Center for Independent Study,Salinas,93907,https://www.nmcusd.org/NMCCIS
EnCompass Academy Elementary,Oakland,94621,https://www.ousd.org/encompass/fullsite
Carpe Diem High (Continuation),Petaluma,94952,https://www.petalumacityschools.org/Domain/23
Sixth Grade Charter Academy at Petaluma Jr. High,Petaluma,94952,https://www.petalumacityschools.org/petalumajuniorhigh
Rio Bravo-Greeley Elementary,Bakersfield,93314,https://www.rbgusd.k12.ca.us/rdles
Ripona Elementary,Ripon,95366,https://www.riponaelementary.com/
Scholar Plus Online Learning,Perris,92570,https://www.sola.puhsd.org/10/home
Van Ness Avenue Elementary,Los Angeles,90004,https://www.vannesselementary.com/
Vista High (Alternative),San Pablo,94806,https://www.wccusd.net/site/default.aspx?PageType=3&DomainID=762&ModuleInstanceID=19649&ViewID=6446EE88-D30C-497E-9316-3F8874B3E108&RenderLoc=0&FlexDataID=51775&PageID=2642
Weston Elementary,Ripon,95366,https://www.westonelementary.com/
Orville Wright Engineering and Design Magnet,Los Angeles,90045,https://www.wrightms.org/#
Zane Grey Continuation,Reseda,91335,https://zanegreyhs-lausd-ca.schoolloop.com/
