Almanor High (Continuation),Chester,96020,https://www.cde.ca.gov/schooldirectory/details?cdscode=32669693230034
Marina West Elementary,Oxnard,93035,https://www.greatschools.org/california/oxnard/7669-Marina-West-Elementary-School/
Walter J. Katnich Community Day,Lodi,95242,https://nces.ed.gov/ccd/schoolsearch/school_detail.asp?Search=1&DistrictID=0622230&SchoolPageNum=4&ID=062223012737
Porter Ranch Community,Porter Ranch,91326,https://www.tollbrothers.com/luxury-homes-for-sale/California/Porter-Ranch
Black Rock Alternative/Continuation,Yucca Valley,92284,https://www.cde.ca.gov/schooldirectory/details?cdscode=36677773630217
Red Bluff Community Day,Red Bluff,96080,https://www.cde.ca.gov/schooldirectory/details?cdscode=52716210114801
George C. Payne Elementary,San Jose,95130,https://www.greatschools.org/california/san-jose/5567-George-C.-Payne-Elementary-School/
William M. Metteer Elementary,Red Bluff,96080,https://www.greatschools.org/california/red-bluff/7389-William-M.-Metteer-Elementary-School/
Manteca Community Day (7-12),Manteca,95337,https://www.cde.ca.gov/SchoolDirectory/details?cdscode=39685933930328
Moreno Valley Community Learning Center,Moreno Valley,92553,https://www.cde.ca.gov/schooldirectory/details?cdscode=33671243330685
Warner Avenue Elementary,Los Angeles,90024,https://www.greatschools.org/california/los-angeles/2474-Warner-Avenue-Elementary-School/
Desert Willow Fine Arts Sci and Tech Magnet Acad,Palmdale,93550,https://www.cde.ca.gov/SchoolDirectory/details?cdscode=19648570105981
Kennedy Elementary,Lindsay,93247,https://www.lindsay.k12.ca.us/Kennedy/Schools
One Hundred Sixteenth Street Elementary,Los Angeles,90059,https://www.cde.ca.gov/SchoolDirectory/details?cdscode=19647336018543
Theodore Roosevelt,Paramount,90723,https://www.greatschools.org/california/paramount/2774-Theodore-Roosevelt/
Sonoma Mountain High (Continuation),Petaluma,94954,https://www.usnews.com/education/best-high-schools/california/districts/petaluma-joint-union-high/sonoma-mountain-high-continuation-91773
Limerick Avenue Elementary,Canoga Park,91306,https://www.greatschools.org/california/canoga-park/2197-Limerick-Avenue-Elementary-School/
Pathways for Adult Life Skills,Perris,92570,https://www.cde.ca.gov/SchoolDirectory/details?cdscode=33672070137620
Lincoln Elementary,Lindsay,93247,https://www.lindsay.k12.ca.us/Lincoln
Special Education-Infant/Preschool Program,Los Angeles,90017,https://www.cde.ca.gov/schooldirectory/details?cdscode=19647330117226
Margaret White Elementary,Blythe,92225,https://www.greatschools.org/california/blythe/4446-Margaret-White-Elementary-School/
Loconoma Valley High,Middletown,95461,https://www.cde.ca.gov/schooldirectory/details?cdscode=17640551730035
Alliance Academy,Oakland,94603,https://www.greatschools.org/california/oakland/17059-Alliance-Academy/
Albert Einstein Continuation,North Hills,91343,https://www.greatschools.org/california/north-hills/2048-Albert-Einstein-Continuation-School/
Park Avenue Elementary,Cudahy,90201,https://www.greatschools.org/california/cudahy/2312-Park-Avenue-Elementary-School/
Guy Jr. Emanuele Elementary,Union City,94587,https://www.greatschools.org/california/union-city/11683-Guy-Jr.-Emanuele-Elementary-School/
Ocotillo Elementary,Palmdale,93551,https://www.greatschools.org/california/palmdale/2751-Ocotillo-Elementary-School/
Eagle Prairie Elementary,Rio Dell,95562,https://www.cde.ca.gov/SchoolDirectory/details?cdscode=12630086008114
Delta Keys Charter,Lathrop,95330,https://www.cde.ca.gov/SchoolDirectory/details?cdscode=39686270136028
Rosewood Park,City Of Commerce,90040,http://www.ci.commerce.ca.us/Home/Components/FacilityDirectory/FacilityDirectory/23/
Wildwood Elementary,Piedmont,94611,https://www.greatschools.org/california/piedmont/277-Wildwood-Elementary-School/
Honcut,Oroville,95966,https://www.neighborhoodscout.com/ca/oroville/honcut
Potrero Heights Elementary,South San Gabriel,91770,https://www.greatschools.org/california/south-san-gabriel/2694-Potrero-Heights-Elementary-School/
Ocean Shores High (Continuation),Oceanside,92054,https://www.greatschools.org/california/oceanside/6013-Ocean-Shores-High-Continuation-School/
South Coast Continuation,Point Arena,95468,https://www.cde.ca.gov/schooldirectory/details?cdscode=23655992330108
Chatsworth Park ES Urban Planning/Comm Development Magnet,Chatsworth,91311,https://www.cde.ca.gov/SchoolDirectory/details?cdscode=19647336016463
Open Valley Independent Study,Patterson,95363,https://www.cde.ca.gov/schooldirectory/details?cdscode=50712170133124
Leo R. Croce Elementary,Livermore,94551,https://www.greatschools.org/california/livermore/145-Leo-R.-Croce-Elementary-School/
Pomona Alternative,Pomona,91767,https://www.cde.ca.gov/schooldirectory/details?cdscode=19649071995547
Taylor (Bertha) Elementary,San Jose,95123,https://www.greatschools.org/california/san-jose/5601-Taylor-Bertha-Elementary-School/
Wilmington Mid Sci Tech Engr Arts Math (STEAM) Magnet,Wilmington,90744,https://www.cde.ca.gov/SchoolDirectory/details?cdscode=19647336058374
David G. Millen Law and Government Magnet Academy,Palmdale,93551,https://www.cde.ca.gov/SchoolDirectory/details?cdscode=19648570126268
Milor Continuation High,Rialto,92376,https://www.cde.ca.gov/SchoolDirectory/details?cdscode=36678503630159
Frank Lanterman,Los Angeles,90007,http://notebook.lausd.net/portal/page?_pageid=33
Herman (Leonard) Intermediate,San Jose,95123,https://www.greatschools.org/california/san-jose/5593-Herman-Leonard-Intermediate-School/
Cimarron Elementary,Palmdale,93552,https://www.greatschools.org/california/palmdale/2744-Cimarron-Elementary-School/
Yosemite National Park El Portal,El Portal,95318,https://www.cde.ca.gov/SchoolDirectory/details?cdscode=22655326025001
Ojai Independent,Ojai,93023,https://www.ojaiusd.org/o/ois
Diane S. Leichman Career Preparatory and Transition Center,Reseda,91335,https://www.cde.ca.gov/SchoolDirectory/details?cdscode=19647331931633
Novato Early Intervention,Novato,94947,https://www.cde.ca.gov/schooldirectory/details?cdscode=21654170122937
Buena Vista Elementary,Palmdale,93552,https://www.cde.ca.gov/SchoolDirectory/details?cdscode=19648576108609
Haydock Academy of Arts & Sciences,Oxnard,93033,https://www.niche.com/k12/haydock-academy-of-arts-and-sciences-oxnard-ca/
Pleasant Hill Middle,Pleasant Hill,94503,https://www.greatschools.org/california/pleasant-hill/492-Pleasant-Hill-Middle-School/
Mar Vista Elementary,Aptos,95003,https://www.pvusd.net/marvista
McFarland Independent,McFarland,93250,https://www.cde.ca.gov/schooldirectory/details?cdscode=15739081530229
Lynwood Alternative,Lynwood,90262,http://lynwoodhcc.com/
Independence High (Alternative),Merced,95340,https://www.cde.ca.gov/schooldirectory/details?cdscode=24657892430049
Gussie M. Baker Elementary,San Jose,95130,https://www.greatschools.org/california/san-jose/5561-Gussie-M.-Baker-Elementary-School/
Joseph Pomeroy Widney Career Prep and Transition Center,Los Angeles,90018,https://www.cde.ca.gov/SchoolDirectory/details?cdscode=19647331939784
Berry Creek Elementary,Berry Creek,95916,https://www.cde.ca.gov/schooldirectory/details?cdscode=04733796002927
One Hundred Twenty-Second Street Elementary,Los Angeles,90061,https://www.cde.ca.gov/SchoolDirectory/details?cdscode=19647336018576
Mesquite Elementary,Palmdale,93552,https://www.greatschools.org/california/palmdale/2750-Mesquite-Elementary-School/
Kimball,National City,91950,https://www.kimballnc.com/
Palmdale Learning Plaza,Palmdale,93551,https://www.cde.ca.gov/SchoolDirectory/details?cdscode=19648576111546
Georgina P. Blach Junior High,Los Altos,94024,https://www.greatschools.org/california/los-altos/5515-Georgina-P.-Blach-Junior-High-School/
John A. Sutter Middle,Canoga Park,91306,https://www.greatschools.org/california/canoga-park/2412-John-A.-Sutter-Middle-School/
Highlands Elementary,Concord,94521,https://hies-mdusd-ca.schoolloop.com/
Isaac Newton Graham Middle,Mountain View,94040,https://www.greatschools.org/california/mountain-view/5576-Isaac-Newton-Graham-Middle-School/
Hans Christensen Middle,Menifee,92586,https://www.greatschools.org/california/menifee/25133-Hans-Christensen-Middle-School/
Columbus Avenue,Van Nuys,91405,https://www.greatschools.org/california/van-nuys/12163-Columbus-Avenue-School/
John Burroughs Middle,Los Angeles,90005,https://www.greatschools.org/california/los-angeles/1959-John-Burroughs-Middle-School/
San Luis High (Continuation),Los Banos,93635,https://www.cde.ca.gov/SchoolDirectory/details?cdscode=24657552431492
New Jerusalem Online,Tracy,95304,https://www.cde.ca.gov/schooldirectory/details?cdscode=39686270130864
CDS Elementary,Chatsworth,91311,https://www.greatschools.org/california/chatsworth/14437-Cds-Elementary-School/
High Desert Community Day,Alturas,96101,https://www.cde.ca.gov/SchoolDirectory/details?cdscode=25735852530111
Rincon Valley Partnership,Santa Rosa,95405,https://www.cde.ca.gov/SchoolDirectory/details?cdscode=49708960120980
Donaldson Way Elementary,American Canyon,94589,https://www.greatschools.org/california/american-canyon/3516-Donaldson-Way-Elementary-School/
Georgia Morris Elementary,Colton,92324,https://www.greatschools.org/california/colton/5237-Georgia-Morris-Elementary-School/
Frost (Earl) Elementary,San Jose,95123,https://www.greatschools.org/california/san-jose/5590-Frost-Earl-Elementary-School/
Longfellow (Henry W.) Elementary,Pasadena,91104,https://www.greatschools.org/california/pasadena/2791-Longfellow-Henry-W.-Elementary-School/
Park View Elementary,Ripon,95366,https://www.greatschools.org/california/ripon/14471-Park-View-Elementary-School/
Boron Junior-Senior High,Boron,93516,https://www.cde.ca.gov/SchoolDirectory/details?cdscode=15636851530997
Wilson Elementary,El Cerrito,94530,https://www.greatschools.org/california/richmond/619-Wilson-Elementary-School/
Loleta Elementary,Loleta,95551,https://www.cde.ca.gov/schooldirectory/details?cdscode=12629270000000
Transitional Kindergarten Center,Los Banos,93635,https://www.cde.ca.gov/SchoolDirectory/details?cdscode=24657550136895
Elkhorn,Stockton,95209,https://www.elkhorngc.com/
Itliong-Vera Cruz,Union City,94587,https://www.greatschools.org/california/union-city/162-Itliong-Vera-Cruz-Middle-School/
Figueroa Street Elementary,Los Angeles,90044,https://www.greatschools.org/california/los-angeles/2076-Figueroa-Street-Elementary-School/
Modoc High,Alturas,96101,https://www.cde.ca.gov/schooldirectory/details?cdscode=25735852535409
Twin Palms Continuation,Blythe,92225,https://www.cde.ca.gov/SchoolDirectory/details?cdscode=33671813331139
Cesar Chavez Elementary,East Palo Alto,94303,https://www.cde.ca.gov/SchoolDirectory/details?cdscode=41689996044366
Minnie Cannon Elementary,Middletown,95461,https://www.cde.ca.gov/SchoolDirectory/details?cdscode=17640556010672
La Entrada High,Yorba Linda,92886,https://www.niche.com/k12/la-entrada-high-school-yorba-linda-ca/
Arthur Hapgood Elementary,Lompoc,93438,https://www.cde.ca.gov/schooldirectory/details?cdscode=42692296045561
Canfield Avenue Elementary,Los Angeles,90035,https://www.greatschools.org/california/los-angeles/1969-Canfield-Avenue-Elementary-School/
Washington Elementary,Lindsay,93247,https://www.cde.ca.gov/SchoolDirectory/details?cdscode=54719936054159
Delta Bridges Charter,Stockton,95207,https://www.cde.ca.gov/schooldirectory/details?cdscode=39686270132050
Hillside Junior/Senior High,Pine Valley,91962,https://www.cde.ca.gov/SchoolDirectory/details?cdscode=37682133730991
CDS Secondary,Los Angeles,90021,https://www.cde.ca.gov/SchoolDirectory/details?cdscode=19647331996651
Oak Tree Community Day,Palmdale,93550,http://www.palmdalesd.org/Domain/22
Golden Valley High,Merced,95344,https://www.cde.ca.gov/SchoolDirectory/details?cdscode=24657892430098
Thomas Russell Middle,Milpitas,95035,https://www.greatschools.org/california/milpitas/5554-Thomas-Russell-Middle-School/
Crestwood Street Elementary,Rancho Palos Verdes,90275,https://www.greatschools.org/california/rancho-palos-verdes/2018-Crestwood-Street-Elementary-School/
Pond Elementary,Wasco,93280,https://www.greatschools.org/california/wasco/1347-Pond-Elementary-School/
ROOTS International Academy,Oakland,94621,https://www.ousd.org/roots
Educational Training Center,Needles,92363,https://www.cde.ca.gov/SchoolDirectory/details?cdscode=36678013630266
